index,name,artist,spotify_preview_url,tags,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,speed,song
46513,Winter Weather,Squirrel Nut Zippers,https://p.scdn.co/mp3-preview/6fe236f5d71afb611c619bbac10ab4fe82d4b86d?cid=774b29d4f13844c495f206cafdad9c86,['ska'],1998,0.569,0.4,0.6458830769230769,Major,0.0373,0.492,0.0105,0.248,0.535,0.5679044333228784,Winter Weather (Squirrel Nut Zippers)
49892,Wotans Fire,Thyrfing,https://p.scdn.co/mp3-preview/a9bfc5fa3afce60b7592a14e124ca9bc7036615f?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.322,0.826,0.5983507692307692,Major,0.0396,2.99e-05,0.86,0.0865,0.262,0.5942461805602905,Wotans Fire (Thyrfing)
2032,Inside Out,EVE 6,https://p.scdn.co/mp3-preview/a09fb8015745b9340e1d614847352a7287d84ba3?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'alternative', 'alternative rock', 'punk', '90s']",1998,0.483,0.818,0.7249969230769231,Major,0.0444,0.114,0.0,0.367,0.691,0.79851631642825,Inside Out (EVE 6)
33951,Mourn,Sentenced,https://p.scdn.co/mp3-preview/a329141d4fadbb3c2f330a5601f2eacbc2c8e2f0?cid=774b29d4f13844c495f206cafdad9c86,"['instrumental', 'melodic death metal', 'gothic metal', 'gothic']",1998,0.447,0.556,0.7140184615384615,Minor,0.0306,0.0355,0.894,0.0937,0.13,0.5911188083257195,Mourn (Sentenced)
33164,Amarillo By Morning,George Strait,https://p.scdn.co/mp3-preview/370eb2c30a40469c5b57a1550232ea21404af0ab?cid=774b29d4f13844c495f206cafdad9c86,['country'],1998,0.61,0.432,0.5948553846153847,Major,0.0354,0.0963,0.000185,0.395,0.586,0.5499311341724509,Amarillo By Morning (George Strait)
23771,Sting Me,The Black Crowes,https://p.scdn.co/mp3-preview/d3551c208e60187453d3b34775529fe9fb0ef13d?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'hard rock', 'blues', 'blues rock']",1998,0.547,0.974,0.8199138461538461,Major,0.058,0.0057,0.0,0.169,0.616,0.5876096057601833,Sting Me (The Black Crowes)
23775,Rhyme for the Summertime,G. Love & Special Sauce,https://p.scdn.co/mp3-preview/94bc8e54de378d64b794c7053dd825f405024c9c?cid=774b29d4f13844c495f206cafdad9c86,"['rap', 'blues', 'chill']",1998,0.578,0.473,0.6322707692307692,Minor,0.205,0.826,7.94e-05,0.302,0.824,0.4905610633065598,Rhyme for the Summertime (G. Love & Special Sauce)
21256,Big Calm,Morcheeba,https://p.scdn.co/mp3-preview/d21ed55b4ac832c71d8e8d25e5be8b668a5cf6a4?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'chillout', 'trip hop', 'downtempo']",1998,0.549,0.805,0.7468307692307692,Major,0.0917,0.0506,0.649,0.0762,0.289,0.6829035469310387,Big Calm (Morcheeba)
49361,Arroz Con Pollo,Maxwell,https://p.scdn.co/mp3-preview/c9c7e03ec2829ce1c5b9f315b3a3e950fc38b5bf?cid=774b29d4f13844c495f206cafdad9c86,"['pop', 'soul']",1998,0.826,0.44,0.5887507692307692,Major,0.0915,0.0101,0.766,0.108,0.477,0.43660934666103013,Arroz Con Pollo (Maxwell)
26863,Handful Of Nothing,Pain of Salvation,https://p.scdn.co/mp3-preview/24df73094386bf6dfbc5231260cabc028e1a6472?cid=774b29d4f13844c495f206cafdad9c86,['progressive metal'],1998,0.338,0.942,0.7453784615384615,Minor,0.0647,0.0168,0.00204,0.186,0.172,0.685099071334088,Handful Of Nothing (Pain of Salvation)
31228,Outro (Mandatory),UNKLE,https://p.scdn.co/mp3-preview/b5591cd3ae214f686376552e1ebfc690bd99f6d6?cid=774b29d4f13844c495f206cafdad9c86,"['electronic', 'trip hop', 'idm']",1998,0.503,0.132,0.5214523076923077,Minor,0.104,0.482,0.634,0.173,0.0397,0.3164555235848413,Outro (Mandatory) (UNKLE)
36053,La fuerza del destino,Mecano,https://p.scdn.co/mp3-preview/c13e0245bd0f8daf0794fa2165b267ce643fe257?cid=774b29d4f13844c495f206cafdad9c86,"['pop', 'female vocalists', '80s', 'oldies']",1998,0.751,0.652,0.7953723076923076,Major,0.038,0.272,0.00461,0.0329,0.877,0.4082629901860514,La fuerza del destino (Mecano)
13008,No Sense,Cat Power,https://p.scdn.co/mp3-preview/cbab8c710842ed19332eebfe78b67fa202ee7353?cid=774b29d4f13844c495f206cafdad9c86,"['indie', 'female vocalists', 'folk', 'indie rock', 'singer songwriter', 'chillout', 'acoustic', '00s']",1998,0.525,0.229,0.6281846153846153,Minor,0.0303,0.764,0.294,0.0974,0.0319,0.5654679921633871,No Sense (Cat Power)
21127,If You Cant Say No,Lenny Kravitz,https://p.scdn.co/mp3-preview/5a731e4feefd746c8c1c9ea541f894eabd4ae653?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'soul', 'funk']",1998,0.503,0.438,0.7212061538461538,Minor,0.193,0.163,3.36e-05,0.0925,0.477,0.35269304023309833,If You Cant Say No (Lenny Kravitz)
28564,DJ Culture,Pet Shop Boys,https://p.scdn.co/mp3-preview/772cb39f36293eb3d032a19f66f61f03aff187ca?cid=774b29d4f13844c495f206cafdad9c86,"['pop', 'new wave', 'synthpop']",1998,0.505,0.835,0.6093046153846153,Major,0.0437,0.0215,0.00175,0.241,0.892,0.5228211806739306,DJ Culture (Pet Shop Boys)
38740,Sunflower River Blues,John Fahey,https://p.scdn.co/mp3-preview/3bd5eb3bbd07e0f55eeec8d773bbec2c9ddae5ef?cid=774b29d4f13844c495f206cafdad9c86,"['folk', 'instrumental', 'acoustic', 'guitar']",1998,0.454,0.314,0.5730707692307692,Major,0.0319,0.868,0.922,0.143,0.252,0.43592750678430675,Sunflower River Blues (John Fahey)
28518,Odchodząc,Republika,https://p.scdn.co/mp3-preview/7b300b1470b26bea872239e7cbf1abc3e5006b05?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'new wave', 'polish']",1998,0.631,0.623,0.7005784615384615,Minor,0.048,0.354,0.0508,0.151,0.557,0.8134213361334225,Odchodząc (Republika)
8049,Passion And The Opera,Nightwish,https://p.scdn.co/mp3-preview/a88379dade5d94379ef6ae06e34f3ff542764d83?cid=774b29d4f13844c495f206cafdad9c86,"['metal', 'power metal', 'gothic metal', 'symphonic metal']",1998,0.523,0.939,0.8321723076923078,Minor,0.0438,0.000162,0.0223,0.323,0.524,0.5751501184128586,Passion And The Opera (Nightwish)
9713,Da Booty,A Tribe Called Quest,https://p.scdn.co/mp3-preview/f507cda080f440a1d07904c4338014b8d867b3ea?cid=774b29d4f13844c495f206cafdad9c86,"['jazz', 'rap', 'hip hop']",1998,0.867,0.405,0.7175138461538462,Major,0.44,0.115,3.98e-06,0.341,0.735,0.4182996731714191,Da Booty (A Tribe Called Quest)
46452,Newspaper,88 Fingers Louie,https://p.scdn.co/mp3-preview/f8c9dec7a346ed49b5e61e54444c491dba2949a4?cid=774b29d4f13844c495f206cafdad9c86,"['hardcore', 'punk rock', 'ska']",1998,0.392,0.987,0.84736,Major,0.119,0.000323,0.0142,0.185,0.866,0.8332083293559341,Newspaper (88 Fingers Louie)
13660,Why Cant We Be Friends,Smash Mouth,https://p.scdn.co/mp3-preview/77b1dbc9fbabba603d741e33156f2035a187c28c?cid=774b29d4f13844c495f206cafdad9c86,"['rock', 'punk', 'cover', 'ska']",1998,0.452,0.861,0.72448,Major,0.0629,0.167,0.0,0.627,0.746,0.4634465642088612,Why Cant We Be Friends (Smash Mouth)
49795,Going Berserk,Thyrfing,https://p.scdn.co/mp3-preview/5add7830a9146b33243de2f19d655bfa4487bc59?cid=774b29d4f13844c495f206cafdad9c86,,1998,0.23,0.784,0.5940923076923077,Minor,0.0402,0.000139,0.855,0.0541,0.415,0.7780656657257277,Going Berserk (Thyrfing)
