source_song,matched_song,similarity
hHallmark (Broken Social Scene),Hallmark (Broken Social Scene),1.0
Intelligence Has Been Compromised (The Red Chord),Film Critiques and Militia Men (The Red Chord),0.9778858054272418
Figured You Out (Nickelback),Constant Static (New Found Glory),0.9776523231837052
Stop The Train (Bob Marley & The Wailers),Stop That Train (Bob Marley & The Wailers),0.9768919884039873
Surround (American Hi-Fi),I Get It (Chevelle),0.9723103430890432
Dog Guts (Macabre),Definition of Love (Neaera),0.9705037015691721
Chic N Stu (System of a Down),Listen to the Math (Tokyo Police Club),0.9687974670264106
Bleeding (Bathory),All That We Needed (Plain White T's),0.9687400812249797
New Strings (Miranda Lambert),Pictures Of You (The Last Goodnight),0.9681141231626238
My Goodbyes (Saliva),The Killing Lights (AFI),0.9676298655355511
Swallowtail (Elvenking),Anthem Part Two (blink-182),0.967605553708015
Falling To Pieces (Firewind),Kain (Theatres Des Vampires),0.9675901019721952
Superbug (Sneaker Pimps),Suffocated (Ghost Brigade),0.9672089131511197
No Need To Explain (Lacuna Coil),Sunrise in Eden (Edenbridge),0.9668859980934014
The Last Kiss (AFI),A Subtle Dagger (Thrice),0.9667548048524467
Dance Of The Manatee (Fair to Midland),Crying Lightning (Arctic Monkeys),0.9661320668134874
Cant Take This (Orgy),Sound Of The Republic (Raised Fist),0.966028267200885
This One (Beatsteaks),Country Roads (Me First and the Gimme Gimmes),0.9653807208012207
Early Winter (Gwen Stefani),My Fault (Imagine Dragons),0.965247986745478
Freedom Fighters (The Music),Kiuassault (Kiuas),0.9651965495134391
Exkremento (Tanzwut),My Despair (In Strict Confidence),0.9651336857237506
Yesterday (The Beatles),Avril 14th (Aphex Twin),0.9649619392545078
Facing Hell (Ozzy Osbourne),State of Grace (Taylor Swift),0.96399621683284
Hybrids Of Steel (Arch Enemy),Souls (Project Pitchfork),0.9638154549333466
First Day Back (Braid),Deep Silent Complete (Nightwish),0.9637128485190938
Outsmarted (The Hives),Without A Word (Comeback Kid),0.9636360771450782
Angina (Tristania),It Never Ends (Bring Me the Horizon),0.9635357442681375
Dead Leaves (Sentenced),Song For The Broken (Close Your Eyes),0.9633937576130494
You Are My Joy (The Reindeer Section),Stormy Weather (The Kooks),0.9631311520914608
Vapor (Skillet),Permanent (Acceptance),0.9629428988582196
Know-How (Kings of Convenience),Know How (Kings of Convenience),0.962633996450135
Convalescent (dredg),Down South (Summerset Avenue),0.9625706922679932
Stay With You (Goo Goo Dolls),Make Your Move (New Found Glory),0.9625654778905707
Deep Silent Complete (Nightwish),Burn With Me (Amaranthe),0.9624736030988403
The Laws Have Changed (The New Pornographers),Jackie Big Tits (The Kooks),0.962337093684313
Protège Moi (Placebo),Crossfire (Brandon Flowers),0.9621518076672263
Purify (Metallica),Alles was ich will (We Butter the Bread With Butter),0.9621131335496331
One Step Closer (Linkin Park),The Final Solution (Sabaton),0.9620723769936913
Betrayed (Avenged Sevenfold),Unexpected Places (The Academy Is...),0.961990682666845
